question,answer,grade_level
What do plants need to grow?,"Plants need sunlight, water, air, and soil to grow.",elementary
What is the process called when plants make their own food?,Photosynthesis.,elementary
What do you call an animal that only eats meat?,A carnivore.,elementary
What is the largest organ in the human body?,The skin.,elementary
Where do fish live?,"In water, like oceans, rivers, or lakes.",elementary
What do bees collect from flowers?,Nectar and pollen.,elementary
What is the color of chlorophyll?,Green.,elementary
What does a caterpillar turn into?,A butterfly or moth.,elementary
How many legs does a spider have?,Eight.,elementary
What is the freezing point of water?,0 degrees Celsius (32 degrees Fahrenheit).,elementary
What do roots do for a plant?,They absorb water and nutrients from the soil and anchor the plant.,elementary
Name one animal that hibernates in winter.,A bear.,elementary
What is the Earth's closest star?,The Sun.,elementary
What do you call a baby dog?,A puppy.,elementary
How many bones are in the human body?,206.,elementary
What is the main gas in the air we breathe?,Nitrogen.,elementary
What part of the plant makes seeds?,The flower.,elementary
What do you call a group of lions?,A pride.,elementary
What is the boiling point of water?,100 degrees Celsius (212 degrees Fahrenheit).,elementary
How many chambers does a human heart have?,Four.,elementary
What is the biggest animal on Earth?,The blue whale.,elementary
What is the process of a caterpillar becoming a butterfly called?,Metamorphosis.,elementary
What do plants release during photosynthesis?,Oxygen.,elementary
What is the name of the planet we live on?,Earth.,elementary
What do you call animals that are active at night?,Nocturnal.,elementary
How many continents are there?,Seven.,elementary
What is the main function of the lungs?,To help us breathe by exchanging oxygen and carbon dioxide.,elementary
What is a baby frog called?,A tadpole.,elementary
What do you call the hard outer covering of a turtle?,A shell.,elementary
What is the largest planet in our solar system?,Jupiter.,elementary
What do cows eat?,Grass and hay.,elementary
What are the four seasons?,"Spring, summer, autumn (fall), and winter.",elementary
What is the name of the galaxy we live in?,The Milky Way.,elementary
How many teeth does an adult human have?,32.,elementary
What is the green pigment in plants called?,Chlorophyll.,elementary
What do you call a scientist who studies rocks?,A geologist.,elementary
What part of the plant is a carrot?,A root.,elementary
What is the most abundant gas in Earth's atmosphere?,Nitrogen (about 78%).,elementary
What is the name of the force that pulls objects toward Earth?,Gravity.,elementary
How many legs does an insect have?,Six.,elementary
What is a desert?,A very dry area that gets little rain.,elementary
What is the name for a baby cow?,A calf.,elementary
What do fish use to breathe underwater?,Gills.,elementary
What is the largest ocean on Earth?,The Pacific Ocean.,elementary
