question,choices,solution,lecture,full_text,text_question,text_solution,text_lecture,education_level,grade,subject,topic,category
Which text uses the word literally in its traditional sense?,"['The curry that the chef prepared was so spicy that Garrett literally had to drink three glasses of milk to ease the pain.'
 ""The curry that the chef prepared was so spicy that Garrett's mouth was literally on fire by the time he finished his meal.""]","The first text uses literally in its traditional sense: in a factual, non-exaggerated way.
The curry that the chef prepared was so spicy that Garrett literally had to drink three glasses of milk to ease the pain.
The second text uses literally in its nontraditional sense: nearly or in effect (often exaggerated). Garrett's mouth may be in pain, but it is not actually on fire.
The curry that the chef prepared was so spicy that Garrett's mouth was literally on fire by the time he finished his meal.
Most style guides recommend to avoid using the nontraditional sense of the word literally because it is generally considered incorrect.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.","Which text uses the word literally in its traditional sense? The curry that the chef prepared was so spicy that Garrett literally had to drink three glasses of milk to ease the pain. The curry that the chef prepared was so spicy that Garrett's mouth was literally on fire by the time he finished his meal. The first text uses literally in its traditional sense: in a factual, non-exaggerated way.
The curry that the chef prepared was so spicy that Garrett literally had to drink three glasses of milk to ease the pain.
The second text uses literally in its nontraditional sense: nearly or in effect (often exaggerated). Garrett's mouth may be in pain, but it is not actually on fire.
The curry that the chef prepared was so spicy that Garrett's mouth was literally on fire by the time he finished his meal.
Most style guides recommend to avoid using the nontraditional sense of the word literally because it is generally considered incorrect. Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",Which text uses the word literally in its traditional sense?,"The first text uses literally in its traditional sense: in a factual, non-exaggerated way.
The curry that the chef prepared was so spicy that Garrett literally had to drink three glasses of milk to ease the pain.
The second text uses literally in its nontraditional sense: nearly or in effect (often exaggerated). Garrett's mouth may be in pain, but it is not actually on fire.
The curry that the chef prepared was so spicy that Garrett's mouth was literally on fire by the time he finished his meal.
Most style guides recommend to avoid using the nontraditional sense of the word literally because it is generally considered incorrect.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",high,grade9,language science,writing-strategies,Word usage and nuance
Which is a sentence fragment?,"[""The queen's beautiful crown and colorful costume.""
 'The bread has flour, butter, salt, and water in it.']",The queen's beautiful crown and colorful costume is a sentence fragment. It is missing a verb.,"A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A sentence fragment is a group of words that does not express a complete thought. It is usually missing a subject or a verb.
Knows the answer.
This is a sentence fragment. It is missing a subject.
Who knows the answer? She knows the answer.
The bright red car.
This is a sentence fragment. It is missing a verb.
What did the bright red car do? The bright red car stopped.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.","Which is a sentence fragment? The queen's beautiful crown and colorful costume. The bread has flour, butter, salt, and water in it. The queen's beautiful crown and colorful costume is a sentence fragment. It is missing a verb. A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A sentence fragment is a group of words that does not express a complete thought. It is usually missing a subject or a verb.
Knows the answer.
This is a sentence fragment. It is missing a subject.
Who knows the answer? She knows the answer.
The bright red car.
This is a sentence fragment. It is missing a verb.
What did the bright red car do? The bright red car stopped.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.",Which is a sentence fragment?,The queen's beautiful crown and colorful costume is a sentence fragment. It is missing a verb.,"A sentence is a group of words that forms a complete thought. It has both a subject and a verb.
My friends walk along the path.
A sentence fragment is a group of words that does not express a complete thought. It is usually missing a subject or a verb.
Knows the answer.
This is a sentence fragment. It is missing a subject.
Who knows the answer? She knows the answer.
The bright red car.
This is a sentence fragment. It is missing a verb.
What did the bright red car do? The bright red car stopped.
A run-on sentence is made up of two sentences that are joined without end punctuation or with just a comma.
I knocked on the door it opened.
It started raining, we ran inside.
To fix a run-on sentence, separate it into two sentences. Add end punctuation after the first sentence, and capitalize the second sentence.
I knocked on the door. It opened.
It started raining. We ran inside.
You can also fix a run-on sentence by rewriting it as a compound sentence. A compound sentence is two sentences joined by a comma and a conjunction such as and, but, or, or so.
I knocked on the door, and it opened.
It started raining, so we ran inside.",elementary,grade3,language science,writing-strategies,"Sentences, fragments, and run-ons"
What information supports the conclusion that Rodrigo acquired this trait?,"['Rodrigo and his mother both ride bicycles.'
 ""Rodrigo's friend showed him how to ride a bicycle.""
 'Rodrigo rides his bicycle to school.']",,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down from biological parents to their offspring through genes. Genes are pieces of hereditary material that contain the instructions that affect inherited traits. Offspring receive their genes, and therefore gain their inherited traits, from their biological parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Parents do not pass acquired traits down to their offspring.","What information supports the conclusion that Rodrigo acquired this trait? Rodrigo and his mother both ride bicycles. Rodrigo's friend showed him how to ride a bicycle. Rodrigo rides his bicycle to school. Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down from biological parents to their offspring through genes. Genes are pieces of hereditary material that contain the instructions that affect inherited traits. Offspring receive their genes, and therefore gain their inherited traits, from their biological parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Parents do not pass acquired traits down to their offspring.",What information supports the conclusion that Rodrigo acquired this trait?,,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down from biological parents to their offspring through genes. Genes are pieces of hereditary material that contain the instructions that affect inherited traits. Offspring receive their genes, and therefore gain their inherited traits, from their biological parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Parents do not pass acquired traits down to their offspring.",middle,grade7,natural science,biology,Genes to traits
"Based on this information, what is Kitty's genotype for the body hair gene?",['bb' 'a hairless body'],"An organism's genotype for a gene is its combination of alleles for that gene. Kitty has two alleles for a hairless body (b). So, Kitty's genotype for the body hair gene is bb.","All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.","Based on this information, what is Kitty's genotype for the body hair gene? bb a hairless body An organism's genotype for a gene is its combination of alleles for that gene. Kitty has two alleles for a hairless body (b). So, Kitty's genotype for the body hair gene is bb. All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.","Based on this information, what is Kitty's genotype for the body hair gene?","An organism's genotype for a gene is its combination of alleles for that gene. Kitty has two alleles for a hairless body (b). So, Kitty's genotype for the body hair gene is bb.","All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.",middle,grade8,natural science,biology,Genes to traits
Compare the motion of three ships. Which ship was moving at the lowest speed?,"['a ship that moved 555kilometers west in 10hours'
 'a ship that moved 95kilometers south in 10hours'
 'a ship that moved 460kilometers south in 10hours']","Look at the distance each ship moved and the time it took to move that distance. The direction each ship moved does not affect its speed.
Notice that each ship moved for 10 hours. The ship that moved 95 kilometers moved the shortest distance in that time. So, that ship must have moved at the lowest speed.","An object's speed tells you how fast the object is moving. Speed depends on both distance and time.
Distance tells you how far the object has moved. One unit used to measure distance is the kilometer.
Time tells you how long the object has spent moving. One unit used to measure time is the hour.
Think about objects moving for the same amount of time. The object that is moving the slowest will go the shortest distance in that time. It is moving at the lowest speed.","Compare the motion of three ships. Which ship was moving at the lowest speed? a ship that moved 555kilometers west in 10hours a ship that moved 95kilometers south in 10hours a ship that moved 460kilometers south in 10hours Look at the distance each ship moved and the time it took to move that distance. The direction each ship moved does not affect its speed.
Notice that each ship moved for 10 hours. The ship that moved 95 kilometers moved the shortest distance in that time. So, that ship must have moved at the lowest speed. An object's speed tells you how fast the object is moving. Speed depends on both distance and time.
Distance tells you how far the object has moved. One unit used to measure distance is the kilometer.
Time tells you how long the object has spent moving. One unit used to measure time is the hour.
Think about objects moving for the same amount of time. The object that is moving the slowest will go the shortest distance in that time. It is moving at the lowest speed.",Compare the motion of three ships. Which ship was moving at the lowest speed?,"Look at the distance each ship moved and the time it took to move that distance. The direction each ship moved does not affect its speed.
Notice that each ship moved for 10 hours. The ship that moved 95 kilometers moved the shortest distance in that time. So, that ship must have moved at the lowest speed.","An object's speed tells you how fast the object is moving. Speed depends on both distance and time.
Distance tells you how far the object has moved. One unit used to measure distance is the kilometer.
Time tells you how long the object has spent moving. One unit used to measure time is the hour.
Think about objects moving for the same amount of time. The object that is moving the slowest will go the shortest distance in that time. It is moving at the lowest speed.",elementary,grade3,natural science,physics,Force and motion
What information supports the conclusion that Michelle acquired this trait?,"['Michelle can fly a plane on cloudy days and at night.'
 'Michelle is in the Air Force. She flies a plane almost every day.'
 'A pilot taught Michelle how to fly a plane.']",,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down from biological parents to their offspring through genes. Genes are pieces of hereditary material that contain the instructions that affect inherited traits. Offspring receive their genes, and therefore gain their inherited traits, from their biological parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Parents do not pass acquired traits down to their offspring.","What information supports the conclusion that Michelle acquired this trait? Michelle can fly a plane on cloudy days and at night. Michelle is in the Air Force. She flies a plane almost every day. A pilot taught Michelle how to fly a plane. Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down from biological parents to their offspring through genes. Genes are pieces of hereditary material that contain the instructions that affect inherited traits. Offspring receive their genes, and therefore gain their inherited traits, from their biological parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Parents do not pass acquired traits down to their offspring.",What information supports the conclusion that Michelle acquired this trait?,,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down from biological parents to their offspring through genes. Genes are pieces of hereditary material that contain the instructions that affect inherited traits. Offspring receive their genes, and therefore gain their inherited traits, from their biological parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Parents do not pass acquired traits down to their offspring.",middle,grade8,natural science,biology,Genes to traits
Which text uses the word nauseous in its traditional sense?,"['Everyone seemed to enjoy the magnolia-scented candle, but it made Oscar feel rather nauseous.'
 'Everyone seemed to enjoy the magnolia-scented candle, but Oscar found the smell rather nauseous.']","The first text uses nauseous in its traditional sense: causing disgust or nausea.
Everyone seemed to enjoy the magnolia-scented candle, but Oscar found the smell rather nauseous.
The second text uses nauseous in its nontraditional sense: feeling disgusted or nauseated.
Everyone seemed to enjoy the magnolia-scented candle, but it made Oscar feel rather nauseous.
Most style guides recommend to use the traditional sense of the word nauseous because it is considered more standard.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.","Which text uses the word nauseous in its traditional sense? Everyone seemed to enjoy the magnolia-scented candle, but it made Oscar feel rather nauseous. Everyone seemed to enjoy the magnolia-scented candle, but Oscar found the smell rather nauseous. The first text uses nauseous in its traditional sense: causing disgust or nausea.
Everyone seemed to enjoy the magnolia-scented candle, but Oscar found the smell rather nauseous.
The second text uses nauseous in its nontraditional sense: feeling disgusted or nauseated.
Everyone seemed to enjoy the magnolia-scented candle, but it made Oscar feel rather nauseous.
Most style guides recommend to use the traditional sense of the word nauseous because it is considered more standard. Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",Which text uses the word nauseous in its traditional sense?,"The first text uses nauseous in its traditional sense: causing disgust or nausea.
Everyone seemed to enjoy the magnolia-scented candle, but Oscar found the smell rather nauseous.
The second text uses nauseous in its nontraditional sense: feeling disgusted or nauseated.
Everyone seemed to enjoy the magnolia-scented candle, but it made Oscar feel rather nauseous.
Most style guides recommend to use the traditional sense of the word nauseous because it is considered more standard.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",high,grade9,language science,writing-strategies,Word usage and nuance
"Which tense does the sentence use?
Scientists will measure the rainfall in Ashland.",['past tense' 'future tense' 'present tense'],"The sentence is in future tense. You can tell because it uses will before the main verb, measure. The verb tells you about something that is going to happen.","Present tense verbs tell you about something that is happening now.
Most present-tense verbs are regular. They have no ending, or they end in -s or -es.
Two verbs are irregular in the present tense, to be and to have. You must remember their forms.
Past tense verbs tell you about something that has already happened.
Most past-tense verbs are regular. They end in -ed.
Some verbs are irregular in the past tense. You must remember their past-tense forms.
Future tense verbs tell you about something that is going to happen.
All future-tense verbs use the word will.
Present | Past | Future
walk, walks | walked | will walk
go, goes | went | will go","Which tense does the sentence use?
Scientists will measure the rainfall in Ashland. past tense future tense present tense The sentence is in future tense. You can tell because it uses will before the main verb, measure. The verb tells you about something that is going to happen. Present tense verbs tell you about something that is happening now.
Most present-tense verbs are regular. They have no ending, or they end in -s or -es.
Two verbs are irregular in the present tense, to be and to have. You must remember their forms.
Past tense verbs tell you about something that has already happened.
Most past-tense verbs are regular. They end in -ed.
Some verbs are irregular in the past tense. You must remember their past-tense forms.
Future tense verbs tell you about something that is going to happen.
All future-tense verbs use the word will.
Present | Past | Future
walk, walks | walked | will walk
go, goes | went | will go","Which tense does the sentence use?
Scientists will measure the rainfall in Ashland.","The sentence is in future tense. You can tell because it uses will before the main verb, measure. The verb tells you about something that is going to happen.","Present tense verbs tell you about something that is happening now.
Most present-tense verbs are regular. They have no ending, or they end in -s or -es.
Two verbs are irregular in the present tense, to be and to have. You must remember their forms.
Past tense verbs tell you about something that has already happened.
Most past-tense verbs are regular. They end in -ed.
Some verbs are irregular in the past tense. You must remember their past-tense forms.
Future tense verbs tell you about something that is going to happen.
All future-tense verbs use the word will.
Present | Past | Future
walk, walks | walked | will walk
go, goes | went | will go",elementary,grade4,language science,verbs,Verb tense
"Would you find the word blessing on a dictionary page with the following guide words?
billow - brown",['no' 'yes'],"Put the words in alphabetical order.
Since blessing is between the guide words billow - brown, it would be found on that page.","Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Would you find the word blessing on a dictionary page with the following guide words?
billow - brown no yes Put the words in alphabetical order.
Since blessing is between the guide words billow - brown, it would be found on that page. Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Would you find the word blessing on a dictionary page with the following guide words?
billow - brown","Put the words in alphabetical order.
Since blessing is between the guide words billow - brown, it would be found on that page.","Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order.
To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on.
If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.",middle,grade7,language science,reference-skills,Reference skills
Which text uses the word nauseous in its traditional sense?,"['The odor emanating from the landfill made Shannon so nauseous that she had to roll up the car windows as she drove past.'
 ""Shannon couldn't tolerate the nauseous odor emanating from the landfill, so she rolled up her car windows as she drove past.""]","The second text uses nauseous in its traditional sense: causing disgust or nausea.
Shannon couldn't tolerate the nauseous odor emanating from the landfill, so she rolled up her car windows as she drove past.
The first text uses nauseous in its nontraditional sense: feeling disgusted or nauseated.
The odor emanating from the landfill made Shannon so nauseous that she had to roll up the car windows as she drove past.
Most style guides recommend to use the traditional sense of the word nauseous because it is considered more standard.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.","Which text uses the word nauseous in its traditional sense? The odor emanating from the landfill made Shannon so nauseous that she had to roll up the car windows as she drove past. Shannon couldn't tolerate the nauseous odor emanating from the landfill, so she rolled up her car windows as she drove past. The second text uses nauseous in its traditional sense: causing disgust or nausea.
Shannon couldn't tolerate the nauseous odor emanating from the landfill, so she rolled up her car windows as she drove past.
The first text uses nauseous in its nontraditional sense: feeling disgusted or nauseated.
The odor emanating from the landfill made Shannon so nauseous that she had to roll up the car windows as she drove past.
Most style guides recommend to use the traditional sense of the word nauseous because it is considered more standard. Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",Which text uses the word nauseous in its traditional sense?,"The second text uses nauseous in its traditional sense: causing disgust or nausea.
Shannon couldn't tolerate the nauseous odor emanating from the landfill, so she rolled up her car windows as she drove past.
The first text uses nauseous in its nontraditional sense: feeling disgusted or nauseated.
The odor emanating from the landfill made Shannon so nauseous that she had to roll up the car windows as she drove past.
Most style guides recommend to use the traditional sense of the word nauseous because it is considered more standard.","Words change in meaning when speakers begin using them in new ways. For example, the word peruse once only meant to examine in detail, but it's now also commonly used to mean to look through in a casual manner.
When a word changes in meaning, its correct usage is often debated. Although a newer sense of the word may be more commonly used, many people consider a word's traditional definition to be the correct usage. Being able to distinguish the different uses of a word can help you use it appropriately for different audiences.
Britney perused her notes, carefully preparing for her exam.
The traditional usage above is considered more standard.
David perused the magazine, absentmindedly flipping through the pages.
The nontraditional usage above is now commonly used, but traditional style guides generally advise against it.",high,grade12,language science,writing-strategies,Word usage and nuance
