split,orig_split,orig_idx,source_dataset,subject,raw_label,full_text,education_level_original,education_level_judge,judge_raw_response
ood_race-high,ood_race-high,0,race-high,reading-comp,high,"Country music is one of the most popular kinds of music in the United States today because it is about simple but strong human feelings and events-love, sadness, good times, and bad times. It tells real-life, stories and sounds the way people really talk. As life becomes more complicated , it is good to hear music about ordinary people. Country music, sometimes called country-western, comes from two kinds of music. One is the traditional music of the people in the Appalachian Mountains in the eastern Unite States. The other is traditional cowboy music from the west. The singers usually play guitars, and in the 1920s they started using electric guitars. At first city people said country music was low class. It was popular mostly in the South. But during World War II, thousands of Southerners went to the Northeast and Midwest to work in the factories. They took their music with them. Soldiers from the rest of the country went to army camps in the South. They learned country music. Slowly it became popular all over the country. Today country music is also popular everywhere in the United States and Canada--in small towns and in New York City, among black and white, and among educated and uneducated people. About 1, 200 radio stations broadcast country music twenty-four hours a day. English stars sing it in British English, and people in other countries sing it in their own languages. The music that started with cowboys and poor southerners is now popular all over the world.",high,middle,middle
ood_race-high,ood_race-high,1,race-high,reading-comp,high,"After nearly 50 years of separation,an elderly woman has been reunited with the family that she feared was lost to her forever. Celestine Thompson left Mississippi when she was 14 years old and eventually settled in New York,where she spent more than 30 years of her life,according to WLOX 13News. After surviving a fire in 1992,Thompson was in a coma for two years and has since experienced memory loss. The 90-year-old found it difficult to recall details about her family. But later she remembered the name of her nephew Clarence Woodway. Then another woman who knows Thompson in Mississippi was able to track Woodway down and help reunite Thompson with her large family. ""In our minds,my brother and I were talking that she wasn't here anymore,because we hadn't heard from her for a very long time,""Donald Davis,another one of Thompson's nephews,told the media.""You know,we were overjoyed when we found out that we had gotten in contact with her."" A few of Thompson's relatives visited her in New York,and then arranged a larger reunion which was held this past Saturday in Gulfport,Mississippi,the Associated Press reported. Thompson now lives in Greensboro,Alabama,with a caretaker,and,although she is yet to meet them all,she has regained quite a sizeable family of 23 nieces and nephews,64 grand nieces and nephews,66 great-grand nieces and nephews and 34 great-great-grand nieces and nephews,according to the Associated Press.",high,middle,middle
ood_race-high,ood_race-high,2,race-high,reading-comp,high,"President Barack Obama speaks as he meets with Chinese President Xi Jinping over international security issues during the Nuclear Security Summit in Washington, March 31, 2016. While they report slow progress over major disagreements, what do average citizens in those countries think about each other? A study by the Pew Research Center offers some answers. Only 38 percent of Americans said they have a positive view of China, according to a 2015 Pew survey. And in China, only 44 percent of people surveyed gave the United States a positive rating. Americans expressed concern about the large amount of U.S. debt held by China and the loss of jobs to China. Last year, the U.S. Treasury Department said China held $1.2 trillion in U.S. government debts. People polled in China said they believe the United States is trying to prevent China from becoming as powerful as the U.S. The views reflect some of the tensions between the nations' leaders. The United States has been strongly against China's construction of artificial islands and military facilities along the disputed South China Sea. And there have been disagreements over how to respond to recent North Korean nuclear and missile tests. A joint statement from U.S. and China after Thursday's Obama-Xi meeting said both countries agreed to work together on nuclear security. The Obama administration said China has agreed to sanctions to protest recent North Korean nuclear tests. But Xi expressed opposition to a new missile defense system for South Korea, according to Chinese media reports. Such a system is being considered by U.S. and South Korean leaders to protect South Korea from a North Korean attack. At the start of his meeting with Xi, Obama said, ""Of great importance to both of us is North Korea's pursuit of nuclear weapons, which threatens the security and stability of the region."" Xi said China and the United States ""have a responsibility to work together."" As for issues dividing the two nations, Xi said both sides could ""seek active solutions through dialogue and consultation."" The two leaders met during a 53-nation conference on nuclear security in Washington, D.C.",high,middle,middle
ood_race-high,ood_race-high,3,race-high,reading-comp,high,"If I had known the following things when I was in high school, my life would have been 100% easier back then and probably would have helped me greatly. I realized some of these things I was told but being young and ignorant I refused to listen. 1.Your high school sweetheart will probably not be your spouse. When I was in school, I thought my boyfriend and I were the ""one and only true love"". Honestly as most young people do, statistically only like 2% of people end up marrying their high school sweethearts and even if they do they probably won't be as happy as they were in high school. Being an adult is very stressful and your relationships become different. 2. _ How many kids play sports per year? How many kids are good enough to get a scholarship by playing sports? How many of them even make it to the Olympics after college or university? The kids who actually stay at home and focus on getting good at computers or math are the ones who make the most in the adult world financially. 3. It doesn't matter what university you go to. I was convinced I was going to go to a great art school when I graduated and I was so stressed out about it that I ended up dropping out of school. In reality my life wasn't over; I only got my GED a year ago but I am in a decent school now. In the real world when you go to apply somewhere all they care about is ""do you have a degree or a certification""? 4. Your friends probably won't be your friends after you graduate. I really thought I was going to get an apartment with my friends and our kids were going to grow up together. The truth is, when people grow up they move, have kids, get married, and therefore change. You will change; you will not be the same person you were. High school is just a transitional period of your life. So don't worry about who is saying what about you or who is making fun of whom.",high,high,high
ood_race-high,ood_race-high,4,race-high,reading-comp,high,"People come in all shapes and sizes,colors and races . Some speak differently while others act differently. My mother is in a wheelchair. I would like to say something about this special woman I call ""Mommy"". My mom does what a mom needs to do every day. She picks me up from school,drives me to meetings,cooks dinner,and helps me with my homework. This is just part of what makes her great,though. She is my best friend and can immediately notice when I am unhappy. She helps me solve problems that my friends do not understand. Mommy makes me laugh when times are tough. I look forward to coming home because I know there is someone there who cares about what I have done. Mommy has always tried to be like a ""normal"" mom. But I think my mother is a wonderful woman and she doesn't need to change. She teaches me life lessons that no teacher or friend can. She shows me how to accept everyone for what is inside,rather than what is on the outside. You may have realized that all the qualities I admire have nothing to do with what she looks like. Everyone could be the way she is,but most are not. I want everyone to look beyond the surface and see what is inside others. You may fail to notice someone who is very special like my mom because you cannot accept their outside features.",high,middle,middle
ood_race-high,ood_race-high,5,race-high,reading-comp,high,"Richard Branson, an English business magnate, has had great, global success. He is best known as the founder of Virgin Group, which consists of more than 400 companies. So what, I asked, is his most important secret to success? His answer was simple: look for the best in other people. Throughout his life he's never thought ill of other people. He looks for the best and praises them. Branson at times seems almost not human. He's too good at what he does. No, great. Nearly perfect. When he starts something, he is very likely to succeed. He has fallen out with others though, like anyone else. He is human. He told me:""Life is short and the world is much smaller than one realizes. You are going to come across people time and time again in the most surprising places ... As a leader it's even more important to be out there praising and encouraging people. If you do fall out with somebody in life, even if you think it was their mistake, give them a call. Befriend them. Go out to lunch with them."" The greatest leaders in the world have taught forgiveness. Perhaps the most extreme example is Nelson Mandela who invited his former prison guard to his inauguration and even had lunch with a man who in the past wanted him to be sentenced to death. Life is too short. We are humans and sometimes we make mistakes and anger people. What defines us is not those who are able to avoid confrontation , but those who are able to deal with it. The human body is able to self-heal when we are cut. In that same manner, we must heal our past relationships. Branson wins respect from those around him. A natural-born leader, he is always deep in thought and hungry for more; always one step ahead. And it was Richard Branson who taught me about forgiveness.",high,high,high
ood_race-high,ood_race-high,6,race-high,reading-comp,high,"The first Europeans came to America in 1492 with Christopher Columbus. Since that time people have come to America from all over the world, from Europe, Africa, and Asia, and they have brought their music with them. This mixing of people and music has created American music. Music is a very important part of our lives. Music is for dancing, drinking, eating, loving, and thinking. Some songs remind us of our childhood or youth. Others remind of the people they love. Many important occasions, like weddings and funerals have special music. Every nation has a national song like the American ""The StarSpangled Banner"". In the US high schools and colleges have school songs too. Music is a part of the history of America. It expresses the problems and feelings of its people. As the years pass, the music grows and changes. Modern science has also changed music. Inventions like records, radios, movies, electric instruments, tape recorders, and videos have changed the way we play and listen to music. They have helped to make music an important form of international communication. American music, from the earliest folk songs to modern ""pop"", is known around the world. Music is one of America's most important exports. It brings the people of the world together. Even when people cannot understand the same language, they can share the same music. Many people learn and practise English by singing song. Understanding American music can help you understand American people, their history and culture. So, as the song says, ""put a dime (10 cents)in the juke box , baby. Let's listen to the music!""",high,middle,middle
ood_race-high,ood_race-high,7,race-high,reading-comp,high,"Are you interested in country music?I like it very much !It will take me away for a while after I am tired .The guitars and songs will take me to mountains and fields. Country music usually talks of everyday life and feelings.It's the spirit of America ,easy to understand ,slow and simple. Country music developed in the Southern United States.It was the folk music of American countryside.Many of songs tell about the lives of farmers .They talk about love,crops or death. The life of the countryside can be hard,so the words in country music are often sad.At first,people played the music only at family parties.But it became more popular later. In the 1920s,people played country songs on the radio,and they made them into records. When people in the countryside moved to towns and cities to look for work,they took their music with them.Country music continued to change and became popular across America. John Denver was one of America's most famous country singers in the 1970s.His song ""Take Me home,Country Roads""is well-known and people still play it today.",high,middle,middle
ood_race-high,ood_race-high,8,race-high,reading-comp,high,"Are you happy? Do you remember a time when you were happy? Are you seeking happiness today? Many have sought a variety of sources for their feelings of happiness. Some have put their heart and effort into their work. Too many have turned to drugs and alcohol. Most of their efforts have a root in one common fact: People are looking for a lasting source of happiness. Unfortunately, I believe that happiness escapes many because they misunderstand the process and journey of finding it. I have heard many people say that, ""I'll be happy when I get my new promotion."" Or ""I'll be happy when I lose that extra 20 pounds."" The list goes on and on. You probably have a few of your own you could add if you wanted. _ is dangerous because it presupposes that happiness is a ""response"" to having, being or doing something. In life, we all experience stimulus and response. Stimulus is when a dog barks at you and bares his teeth. Response is when your heart beats faster, your palms get sweaty and you prepare to run. Today, some people think that an expensive car is a stimulus. Happiness is a response. A great paying job is a stimulus. Happiness is a response. A loving relationship is a stimulus. Happiness is a response. This belief leaves us thinking and feeling: "" I'll be happy when..."" It has been my finding that actually the opposite is true. I believe that happiness is a stimulus and response is what life brings to those who are truly happy. When we are happy, we tend to have more success in our work. When we are happy, people want to be around us and enjoy loving relationships. When we are happy, we more naturally take better care of our bodies and enjoy good health. Happiness is NOT a response--rather, it is a stimulus. Happiness is a conscious choice we make every day of our lives. For unknown reason to me, many choose to be painful, unsuccessful and angry most of the time. Happiness is not something that happens to us after we get something we want--we usually get things we want AFTER we choose to be happy. I have made only one simple rule for my own happiness: Every day above ground is a GOOD day. Therefore, I tend to have a lot of good (and happy) days continually.",high,high,high
ood_race-high,ood_race-high,9,race-high,reading-comp,high,"The unknown world's mystry The sea is the biggest unknown part of our world. It covers seventy-one percent of the earth. There is still much to be discovered about this vast blanket of water. If the waters of the ocean could be removed, the sea floor with its wide valleys, irregular mountains and rivers in the sea would be an unbelievable sight. Tourism under the deep blue sea Tourists can now explore the world beneath the waves without ever getting wet. From tourist submarines to underwater dining, undersea tourism is making a big splash. Tourist submarines The popularity of submarine tours has grown rapidly in the last decade. Now, tourist submarines operate in more than 20 locations worldwide, including the waters around Okinawa and Taiwan's Green Island. The submarines carry nearly 2 million tourists each year. Large windows offer passengers spectacular views as the submarines explore colorful coral reefs and sunken ships. Most one-hour tours cost about US $80. Under water dinning For a more upscale experience, tourists can enjoy fine dining under the sea. Last summer the Hilton Maldives Resort opened the world's first underwater restaurant, Ithaa. Diners walk down a staircase into the restaurant, which rests 35 feet beneath the waves of the Indian Ocean. Transparent walls surround the dining area, and you can treat guests to a panoramic ocean view. But this excellent view doesn't come cheap. The tasting menu costs US $200 per person. Be sure to make reservations early, too. The restaurant seats only 14 people.",high,middle,middle
