full_text,education_level,source_dataset,domain,orig_split,orig_idx,topic,variation,condition,requested_level,llm_judge_label
"Imagine two toy boxes, one in New York and one in California.
They are connected by a magic string that we can't see.
If we put a toy in one box, the other box opens.
The toy in the other box will be the same, instantly.
But if we put a different toy in one box, the other box stays closed.
This happens even if they are on opposite sides of the country.
It's as if the boxes are connected in a special way.
Scientists call this magic connection ""entanglement.""
It's like a secret handshake between the two boxes.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,0,quantum entanglement,0,easy_prose_hard_concept,elementary,middle
"Imagine two toy boxes, one in New York and one in California.
They are connected in a special way that lets them talk.
When a coin flips in the box in New York, the coin in California affects.
Even if they are really far apart, their ""talk"" is instant.
They can be connected in a way that's hard to understand.
This connection is called quantum entanglement.
It's not like sending a letter or making a phone call.
The connection happens instantly, no matter the distance.
Scientists are still trying to figure out how it works.
They use tiny particles like electrons to test this strange connection.
It's a mind-bending idea that's changing our understanding of space.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,1,quantum entanglement,1,easy_prose_hard_concept,middle,middle
"Imagine time and space are not separate things. 
They're connected, like two threads in a rope.
This idea changed how we see the universe. 
Albert Einstein's theory, called general relativity, explains it.
The Earth warps space around it, like a heavy bowling ball.
Imagine a trampoline: the ball creates a dent.
Other objects, like planets, move along that curve.
Gravity isn't a force that pulls, but a curve. 
The more massive the object, the deeper the curve. 
The curve of the Earth affects the path of planets. 
This is why planets orbit around it, not away. 
Einstein's idea changed our understanding of space and time.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,2,general relativity,0,easy_prose_hard_concept,high,middle
"Imagine you're on a boat in the middle of a big lake. 
The Earth is like a big ball with water all around it.
You throw a stone into the water and it makes waves.
The waves move outward from where the stone was thrown.
The Earth also moves around the sun in a big circle.
The sun is like a big ball in space.
Imagine the Earth's movement makes a special kind of curve in space.
That curve is what helps things move and stay on track.
It's like a big, invisible road for the Earth to follow.
The Earth's movement is called general relativity.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,3,general relativity,1,easy_prose_hard_concept,elementary,middle
"Imagine a huge star running out of fuel in space.
It collapses under its own heavy weight.
This collapse creates a massive point with no edges.
It pulls everything, even light, towards itself.
This point is called a black hole.
Nothing escapes its strong pull, not even sound.
It's like a super-powerful vacuum cleaner in space.
Matter gets sucked in, lost forever inside.
A black hole is like a cosmic sinkhole.
It's invisible because not even light escapes to show it.
We can only see its effect on stars nearby.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,4,the nature of black holes,0,easy_prose_hard_concept,middle,middle
"Imagine a massive star running out of fuel and collapsing.
Its gravity becomes so strong it warps space and time.
The point where gravity is strongest is called a black hole.
It's like a sinkhole, but in space, not on Earth.
Nothing can escape its pull, not even light.
That's why we can't see black holes directly.
But we can see how stars move around them.
Their paths are affected by the black hole's strong gravity.
By studying these paths, scientists learn about black holes.
They help us understand the universe's mysteries, one piece at a time.
Black holes are still a big puzzle to scientists.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,5,the nature of black holes,1,easy_prose_hard_concept,high,middle
"Imagine tiny things too small to see.
They can be like waves in the ocean.
But sometimes they can be like tiny balls.
These tiny things are called particles and waves.

When we shine a light on them, they behave like waves.
We see a pattern of light and dark stripes.
But when we don't shine light on them, they act like balls.
They go in straight lines like a ball thrown by a friend.

It's strange, but they can be two things at once.
We call this a mystery, but scientists are learning.
They try to figure out the secret of the tiny things.
This helps us understand the world around us better.",elementary,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,6,wave-particle duality,0,easy_prose_hard_concept,elementary,elementary
"Imagine light as a water wave in the ocean. When it moves, it behaves like a wave. But what if you shine light through a small hole? It acts like tiny particles, called photons. They go through the hole one by one. This strange behavior is called wave-particle duality. It's like light can change its mind. Scientists have found that tiny things like electrons can be waves or particles too. Even you can be both a wave and a surfer. It's a weird and cool idea that helps us understand the world.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,7,wave-particle duality,1,easy_prose_hard_concept,middle,middle
"Imagine a box containing a tiny particle, like an electron.
You can't see inside the box, so you don't know its state.
The math says it's both moving and still at the same time.
This idea is called a ""superposition.""
Erwin Schrödinger thought of this concept.
He created an equation to describe it: dψ/dt = Hψ.
This equation is like a recipe for predicting the particle's behavior.
The ""ψ"" is like a secret code for the particle's state.
The equation helps us figure out what happens when we open the box.
It's like a surprise inside, and the equation tells us the odds.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,8,Schrödinger's equation,0,easy_prose_hard_concept,high,middle
"Eric's toy box has a ball and a surprise.
He can't see inside the box, but he wonders.
A long time ago, a scientist named Erwin Schrödinger thought too.
He wanted to know if the ball was up or down.
He made a math problem to help him guess.
The math problem said the ball was both up and down.
It's like being both happy and sad at the same time.
But when Eric opens the box, it's either up or down.
The math problem helps us understand the surprise inside.
It's a special tool to think about things we can't see.
It makes us wonder and try to figure it out.",middle,synthetic_adversarial,easy_prose_hard_concept,ood_adversarial,9,Schrödinger's equation,1,easy_prose_hard_concept,elementary,middle
