split,orig_split,orig_idx,source_dataset,subject,raw_label,full_text,education_level_original,education_level_judge,judge_raw_response
train,train,0,agentlans-readability,tinystories,3.805,"Once upon a time, there was a powerful potato. It lived in a garden with all it's friends. One day, the potato heard a sound coming from the sky. He looked up and wondered what it was. A voice answered, ""I am an alien from outer space. I am here to visit you. Can you help me?"" The potato was excited and answered, ""Yes!"" The alien smiled and said, ""I need some help getting home. Can you help me build a spaceship?"" The potato was amazed and said, ""Yes!"" So the alien said, ""Okay, let's start by collecting some potatoes."" The powerful potato and the alien worked together to build a spaceship made of potatoes. The alien was so excited when they were finished. He thanked the potato and said, ""Now I can go home!"". Then he waved goodbye and flew away in his spaceship. The powerful potato felt happy and proud that he had helped the alien get home.",elementary,elementary,elementary
train,train,1,agentlans-readability,tinystories,2.5,"Once upon a time there was a little boy named Pete. He was a very brave boy and he always wanted to explore. One day, Pete saw something very shiny. It was a safe. He asked his mom if he could open it. ""No Pete, I'm sorry,"" his mom said. ""It's not safe to open the safe without help."" Pete was sad. He wanted to explore it. So, he asked his daddy for help. ""Well,"" his daddy said. ""That sounds like a brilliant idea. Let's see what's inside."" Pete's eyes lit up. Together, Pete and his dad opened the safe. Inside was a huge surprise! Pete was so excited and he wanted to tell everyone. ""Look Mommy and Daddy"" he said, ""I opened the safe, and it was brilliant!""",elementary,elementary,elementary
train,train,2,agentlans-readability,tinystories,2.703076923076923,"Tommy and Lily were playing in the park with their mom. They saw a blue squirrel on a tree. They wanted to touch it. ""Mom, can we go to the squirrel?"" Tommy asked. ""Only if you behave and don't scare it,"" Mom said. Tommy and Lily nodded and ran to the tree. The blue squirrel looked at them with big eyes. It was holding a nut in its mouth. ""Hello, squirrel,"" Lily said softly. ""You are so pretty. Can we be your friends?"" The blue squirrel twitched its tail and made a noise. It seemed to like Lily. Tommy was jealous. He wanted the squirrel to like him too. He reached out his hand and tried to grab the squirrel's nut. The squirrel did not like that. It bit Tommy's finger hard. Tommy screamed and let go of the nut. The squirrel ran away. ""Ow, ow, ow!"" Tommy cried. ""Mom, the squirrel bit me!"" Mom came running and saw Tommy's finger bleeding. She was angry and worried. ""Tommy, why did you do that? I told you to behave and not scare the squirrel. Now you need to go to the doctor and get a shot. You are in big trouble, mister."" Tommy felt sorry and scared. He wished he had listened to Mom and been nice to the squirrel. He learned his lesson the hard way.",elementary,elementary,elementary
train,train,3,agentlans-readability,tinystories,4.963888888888889,"Once upon a time, there was a very wide zebra. She was a nice zebra and loved to make new friends. One day, she decided to go out and explore the world. She ran and ran, making her way across the wide plains. After a while, she spotted a pond in the distance. She galloped towards the pond and stopped. The zebra looked around and saw a big black and white duck. The zebra and the duck greeted each other and decided to become friends. They wanted to make something fun, so they picked up some twigs and leaves and started to build. The zebra and the duck carefully made a little house, with a roof and a door. The zebra and the duck were very happy with the house they had made. They decided to live in it together, and they had lots of fun together. The zebra and the duck were the best of friends and explored the world together.",elementary,elementary,elementary
train,train,4,agentlans-readability,tinystories,4.96,"Once upon a time, there was a little boy named Timmy. Timmy loved airplanes and always dreamed of being a pilot. One day, Timmy went to the airport with his mommy and saw a big airplane. He wanted to see inside, so his mommy asked the pilot if they could open the door. The pilot was very nice and honest. He said yes and opened the door for Timmy and his mommy. Inside the airplane, Timmy saw lots of seats and a big window. He was so happy that he could see inside the airplane and thanked the pilot for being so kind. After that day, Timmy knew he wanted to be a pilot even more. He promised to always be honest and kind like the pilot who let him see inside the airplane.",elementary,elementary,elementary
train,train,5,agentlans-readability,tinystories,2.732857142857143,"One day, Ted and his mom went to the beach. Ted was very excited. He saw lots of other kids playing in the sand. Ted wanted to play too. His mom said, â€œLetâ€™s count how many anchors we see.â€ Ted said, â€œOk!â€ He looked around. He saw five anchors near the beach. He was so excited. He counted them out loud: â€œOne, two, three, four, five!â€ Then Ted saw a funny thing. He saw an anchor on the top of a tall palm tree. He laughed and said, â€œMommy, thereâ€™s an anchor up there!â€ His mom smiled and said, â€œLetâ€™s count it too.â€ So, Ted counted it: â€œSix!â€ They counted more anchors and had lots of fun together. Ted loved being at the beach.",elementary,elementary,elementary
train,train,6,agentlans-readability,tinystories,4.572777777777778,"Once upon a time, there was a boy named Timmy. Timmy loved going out to eat with his family. They would go to a restaurant and eat yummy food. One day, Timmy's mom received a phone call. She looked worried and guilty. Timmy asked her what was wrong. She told him that they had to cancel their restaurant plans because of an emergency. Timmy was sad, but his mom promised they would go to the restaurant another day. Timmy felt better knowing that he would still get to eat his favorite food. The end.",elementary,elementary,elementary
train,train,7,agentlans-readability,wikipedia-en,2.87,"The first person is ""I"". I have a younger sister named ""Shizuka"". The name of Ada from Urara is ""Haruharu Senpai"". The image color is light blue. In ""Adga"", he belongs to ""Princess"".",elementary,middle,middle
train,train,8,agentlans-readability,tinystories,2.7464285714285714,"Mom was playing with Mary and Bradley. She was so brilliant at it! She taught them to sing, dance and play games. They laughed and smiled together. One day Mary teased Bradley. She pulled his hair and laughed. Bradley started to cry. Mom saw what happened and she was not happy. She told Mary she must not tease her brother. She said: ""It is not kind to tease anyone. We must be kind and gentle."" Mary felt bad for teasing Bradley and said sorry. She hugged him and gave him a big kiss. Then she said: ""I'm sorry I teased you, Bradley. I love you!"" Bradley smiled and hugged her back. Then he giggled and said: ""I love you too, Mary."" Mom smiled and hugged the both. She was so proud of them for being so kind to each other. Then she said: ""That was brilliant! I'm so proud of you!""",elementary,elementary,elementary
train,train,9,agentlans-readability,tinystories,2.973076923076923,"Once upon a time, there was a little boy named Timmy. Timmy loved to watch videos on his tablet. One day, Timmy's mommy noticed that he looked pale. She asked him if he was feeling okay. Timmy replied, ""I don't feel good, mommy. I think I'm going to sneeze."" His mommy got him a tissue and Timmy sneezed three times. His mommy said, ""Bless you, Timmy."" Timmy said, ""Thank you, mommy. Can I still watch my video?"" His mommy said, ""No, Timmy. You need to rest and get better first."" Timmy was sad but he knew his mommy was right. He went to bed early and woke up feeling much better the next day.",elementary,elementary,elementary
train,train,10,agentlans-readability,tinystories,2.865,"Lily and Tom were playing with their toys in the living room. Lily had a doll and Tom had a car. They were having fun until Tom wanted to play with the doll too. ""Give me the doll, Lily!"" Tom said. ""No, it's mine!"" Lily said. They both pulled the doll and it broke in half. Lily and Tom looked at the doll and started to weep. ""Mama, mama, come here!"" they cried. Mama came from the kitchen and saw the broken doll and the weeping children. She was not happy. ""What happened here?"" she asked. ""Lily and Tom broke the doll!"" they both said. Mama sighed and picked up the pieces of the doll. She hugged Lily and Tom and said, ""I'm sorry, my loves. The doll is broken. But it's not the end of the world. You can still play with other toys. And you can share them, right?"" Lily and Tom nodded and said, ""Yes, mama."" Mama smiled and said, ""Good. Now, why don't you go and play with the car for a minute, Lily? And Tom, you can play with the blocks for a minute. Then you can switch, okay?"" Lily and Tom agreed and went to play with the other toys. They stopped weeping and started to laugh. They were glad that mama was nice and that they had more toys to play with. They learned to share and to be careful with their toys. They had a good time.",elementary,elementary,elementary
train,train,11,agentlans-readability,tinystories,2.2225,"Lily and Ben were restless. They did not want to nap. They wanted to play. ""Let's pretend we are mice,"" Lily said. ""We can look for cheese in the kitchen."" ""Okay,"" Ben said. ""But we have to be quiet. Mom is working."" They crawled on the floor and made squeaky noises. They sniffed the air and followed their noses. They found a big block of cheese on the counter. ""Wow, look at that cheese!"" Lily said. ""It is so yellow and yummy."" She jumped on a chair and reached for the cheese. But she was too small. She could not grab it. ""Help me, Ben,"" she said. ""We can share the cheese."" Ben jumped on the chair too. He pushed the cheese with his paw. It rolled off the counter and fell on the floor. ""Oops!"" Ben said. ""We made a mess."" They heard Mom's footsteps. She came into the kitchen and saw the cheese and the chair. ""What are you two doing?"" she asked. ""You are not mice. You are children. And you need to nap."" She picked up the cheese and the chair. She took Lily and Ben to their room. ""Sorry, Mom,"" Lily and Ben said. ""We were just pretending."" Mom smiled and kissed them. She tucked them in their beds. ""Maybe you can pretend to be sleepy mice,"" she said. ""And dream of cheese."" Lily and Ben closed their eyes. They snuggled with their blankets. They were not restless anymore. They were sleepy. They pretended to be mice. And they dreamed of cheese.",elementary,elementary,elementary
train,train,12,agentlans-readability,wikipedia-en,5.4350000000000005,"On December 14, 2009, the WNBA held a dispersal draft for the Monarchs' players. Courtney was taken with the fourth pick by the Chicago Sky. On May 12, 2010, Paris was waived by the Sky.",elementary,middle,middle
train,train,13,agentlans-readability,tinystories,2.25375,"Lily and Ben were twins. They liked to play together, but sometimes they fought. One day, they saw a big muffin on the table. It had chocolate chips and nuts on top. It looked yummy. ""Let's share the muffin,"" Lily said. ""No, I want it all,"" Ben said. He grabbed the muffin and ran away. Lily was angry. She chased Ben around the house. She wanted some muffin too. Ben was faster than Lily. He ran into his room and locked the door. ""Give me some muffin, Ben!"" Lily shouted. She banged on the door. ""Go away, Lily!"" Ben shouted back. He bit the muffin. It was sweet and soft. Lily was sad. She sat on the floor and cried. She heard a knock on the door. It was Mom. ""What's wrong, Lily?"" Mom asked. ""Ben took the muffin and won't share,"" Lily said. Mom looked confused. She said, ""But I made two muffins. One for each of you. Where is the other one?"" Lily and Ben looked around. They saw the other muffin on the kitchen counter. It had blueberries and cream on top. It looked yummy too. Lily and Ben felt silly. They had fought over one muffin when there was another one. They said sorry to each other and hugged. ""Can we share the muffins, Mom?"" Lily asked. ""Of course, sweeties,"" Mom said. She smiled and cut the muffins in half. She gave one half to Lily and one half to Ben. Lily and Ben ate the muffins. They were happy. They managed to solve their problem and enjoy their treat. They thanked Mom and said they loved her. Mom said she loved them too.",elementary,elementary,elementary
train,train,14,agentlans-readability,tinystories,2.76,"Once upon a time, there was a little boy named Tim. Tim had a big cabinet in his room. The cabinet was his friend. It was a loyal cabinet. It always kept his toys safe. One day, Tim told his cabinet, ""I will play with my friends today. Please keep my toys safe."" The cabinet said, ""Yes, Tim. I will be loyal and keep your toys safe."" Tim went to play with his friends. When he came back, he found all his toys safe in the cabinet. He said, ""Thank you, cabinet. You are a loyal friend."" The cabinet was happy to help Tim. And they lived happily ever after.",elementary,elementary,elementary
train,train,15,agentlans-readability,tinystories,3.295,"Once upon a time, there was a cool egg. The egg liked to enter different places. One day, the egg decided to enter a cave. The egg said to itself, ""It's going to be an adventure"". However, things didn't go as the egg planned. When the egg entered the cave, it was dark and scary. The egg yelled to itself, ""I'm scared!"" Just then, a deep, booming voice said, ""Who dares to enter my cave?"" The egg was so frightened that it ran and hid. But the voice followed it. The egg cried, ""Please don't hurt me!"" The voice replied, ""Too late."" And with that, the egg sadly was never seen again.",elementary,elementary,elementary
train,train,16,agentlans-readability,tinystories,4.465,"Once upon a time, there was a little girl named Lily. She lived in a small house with her mom, dad, and her dog, Spot. Lily loved to play with her toys and eat yummy snacks. One day, Lily wanted to send a picture to her grandma. She drew a pretty picture of her family and Spot. Her mom helped her put the picture in an envelope and write grandma's address. Then they went to the mailbox and mailed the picture to grandma. Lily was so happy to share her drawing. In the kitchen, there was a cupboard. Lily's mom kept all the snacks in the cupboard. One day, Lily's mom said, ""Lily, you can pick one snack from the cupboard."" Lily opened the cupboard and saw many treats. She picked a little box of raisins and shared them with Spot. They both enjoyed their yummy snack.",elementary,elementary,elementary
