idx,text,true_level,surface_complexity,category,reasoning,source
0,What is mitosis?,high,easy,surface_easy_concept_hard,"Mitosis is taught in US high-school biology (grades 9-10, NGSS HS-LS1-4). 3-word question is grammatically trivial; concept requires understanding of cell-cycle phases.",hand_curated_2026-05-23
1,Define angular momentum.,high,easy,surface_easy_concept_hard,Angular momentum is a physics-class topic (grades 11-12). Two short words but conceptually requires vectors and rotational kinematics.,hand_curated_2026-05-23
2,What is fertilization?,middle,easy,surface_easy_concept_hard,"Plant/animal fertilization is taught in middle-school life science (grades 6-8, NGSS MS-LS3-1, MS-LS3-2). 3-word question, simple vocab.",hand_curated_2026-05-23
3,Calculate the derivative of x squared.,high,easy,surface_easy_concept_hard,Differential calculus is grade 11-12 (AP Calculus). Question phrased in elementary words but requires calculus.,hand_curated_2026-05-23
4,What is photosynthesis?,middle,easy,surface_easy_concept_hard,"Photosynthesis is core middle-school life science (grades 6-8, NGSS MS-LS1-6). Single short word question.",hand_curated_2026-05-23
5,Solve the quadratic equation x squared minus 5x plus 6 equals zero.,high,medium,surface_easy_concept_hard,"Quadratics by factoring is grade 9-10 algebra (Common Core HSA-REI.B.4). Words are simple, math is not.",hand_curated_2026-05-23
6,What are ions?,high,easy,surface_easy_concept_hard,Chemical bonding and ions taught in high-school chemistry (grade 10-11). 3-word question.,hand_curated_2026-05-23
7,What is the speed of light?,high,easy,surface_easy_concept_hard,"Conceptually elementary as a fact, but its role in special relativity / EM waves is high-school physics. We classify by concept depth not factual recall.",hand_curated_2026-05-23
8,Explain the Krebs cycle.,high,easy,surface_easy_concept_hard,Cellular respiration / Krebs cycle is AP Biology / high school (NGSS HS-LS1-7). Phrasing is a 3-word imperative.,hand_curated_2026-05-23
9,What is a derivative?,high,easy,surface_easy_concept_hard,"Calculus, grade 11-12. Single short question.",hand_curated_2026-05-23
10,Define entropy.,high,easy,surface_easy_concept_hard,Thermodynamics / entropy is high-school physics or chemistry. Two-word imperative.,hand_curated_2026-05-23
11,What is DNA?,middle,easy,surface_easy_concept_hard,"DNA introduced in middle-school life sciences (grades 6-8, NGSS MS-LS3-1). 3-word question.",hand_curated_2026-05-23
12,Find the integral of x.,high,easy,surface_easy_concept_hard,Calculus integration is grade 11-12. Words simple.,hand_curated_2026-05-23
13,What are tectonic plates?,middle,easy,surface_easy_concept_hard,"Plate tectonics is middle-school earth science (grades 6-8, NGSS MS-ESS2-3). Short question, simple vocabulary.",hand_curated_2026-05-23
14,What is a chemical bond?,high,easy,surface_easy_concept_hard,Bonding / molecular structure is high-school chemistry (grade 10-11). Brief phrasing.,hand_curated_2026-05-23
15,Use Cramer's rule.,high,easy,surface_easy_concept_hard,Cramer's rule (linear systems via determinants) is grade 11-12 precalculus / linear algebra preview. 3 words.,hand_curated_2026-05-23
16,Apply the chain rule.,high,easy,surface_easy_concept_hard,Chain rule of differentiation is grade 11-12 AP Calculus. Short imperative.,hand_curated_2026-05-23
17,Factor x squared minus 9.,high,easy,surface_easy_concept_hard,"Difference of squares — Algebra I, grade 8-9 (Common Core 8.EE.A.2 / HSA-SSE).",hand_curated_2026-05-23
18,Compute sine of pi over 6.,high,easy,surface_easy_concept_hard,Trig values are high-school precalculus (grade 11).,hand_curated_2026-05-23
19,Find the limit as x goes to zero of sin x over x.,high,medium,surface_easy_concept_hard,"Classic limit, AP Calculus (grade 11-12).",hand_curated_2026-05-23
20,"The small brown dog ran across the bright green grass in the sunny park while his happy owner cheerfully waved at him from the wooden bench under the tall leafy tree, and then the dog stopped suddenly because he saw a beautiful red ball lying on the soft grass nearby.",elementary,hard,surface_hard_concept_easy,"Long, multi-clause sentence with several adjectives, but the *concept* — a dog seeing a ball in a park — is elementary-level (K-2 typical content).",hand_curated_2026-05-23
21,"Yesterday afternoon during the bright sunny weather, the curious little girl named Sarah carefully picked up the colorful round apple from the green wicker basket on the wooden kitchen table and then thoughtfully placed it inside her favorite blue lunchbox before walking quietly out the front door of her cozy white house.",elementary,hard,surface_hard_concept_easy,"Lots of subordinate clauses and descriptive adjectives, but the content — a girl putting an apple in a lunchbox — is K-2.",hand_curated_2026-05-23
22,The fluffy orange cat with the long whiskers and the bright green eyes sat comfortably on the soft warm rug in the middle of the bright sunny living room next to the wide open window and watched the colorful birds flying happily through the clear blue sky.,elementary,hard,surface_hard_concept_easy,K-2 content (a cat watching birds) dressed in a long sentence.,hand_curated_2026-05-23
23,"During the wonderful springtime morning when the cheerful birds were singing their sweet melodious songs and the gentle warm breeze was softly blowing through the tall green trees, the young curious children eagerly ran outside to happily play their favorite games in the beautiful flower-filled meadow.",elementary,medium,surface_hard_concept_easy,"Standard children-at-play content, but the prose is florid. Concept is K-3.",hand_curated_2026-05-23
24,"Inside the cozy old wooden barn that stood proudly at the back of the large green farm, the friendly brown horses with their long flowing manes happily munched their crunchy yellow hay while gently swishing their long tails to chase away the buzzing summer flies.",elementary,hard,surface_hard_concept_easy,K-3 farm scene; long descriptive sentence.,hand_curated_2026-05-23
25,The bright yellow school bus with the loud honking horn slowly drove down the long winding road past the tall leafy trees and the colorful flower gardens until it finally stopped at the corner where the cheerful smiling children were patiently waiting with their heavy backpacks.,elementary,medium,surface_hard_concept_easy,Riding the school bus — K-3.,hand_curated_2026-05-23
26,Plants need water and sunlight to grow.,elementary,easy,surface_matches_concept,K-2 plant biology fact. Both content and surface are elementary.,hand_curated_2026-05-23
27,"During photosynthesis, plants convert carbon dioxide and water into glucose using sunlight, with chlorophyll absorbing light primarily in the red and blue wavelengths.",middle,medium,surface_matches_concept,Middle-school biology (NGSS MS-LS1-6). Surface complexity matches.,hand_curated_2026-05-23
28,"Photosynthesis involves the light-dependent reactions in the thylakoid membrane, where photosystems II and I drive electron transport to generate ATP and NADPH, which are subsequently consumed by the Calvin-Benson cycle in the stroma to fix CO2 into G3P.",high,hard,surface_matches_concept,"High-school / AP Biology (NGSS HS-LS1-5, HS-LS1-7). Surface matches.",hand_curated_2026-05-23
29,Two plus two equals four.,elementary,easy,surface_matches_concept,Kindergarten arithmetic.,hand_curated_2026-05-23
30,Solve for x: 3x + 7 = 22.,middle,easy,surface_matches_concept,Single-variable linear equation — middle-school algebra (Common Core 7.EE.B.4).,hand_curated_2026-05-23
31,"Find the eigenvalues of the matrix [[2, 1], [1, 2]].",high,medium,surface_matches_concept,Eigenvalue computation — grade 11-12 linear algebra preview / advanced precalculus.,hand_curated_2026-05-23
32,The cat sat on the mat.,elementary,easy,surface_matches_concept,Classic K-1 reading sample.,hand_curated_2026-05-23
33,"Atoms are made of protons, neutrons, and electrons.",middle,easy,surface_matches_concept,Middle-school physical science.,hand_curated_2026-05-23
34,Define enthalpy in the context of a closed thermodynamic system.,high,medium,surface_matches_concept,High-school AP Chemistry (NGSS HS-PS3-2).,hand_curated_2026-05-23
35,What is gravity?,elementary,easy,surface_matches_concept,"As a basic concept (things fall down), gravity is K-2. We deliberately use this as a sanity-check row — the concept is genuinely elementary at this level of phrasing.",hand_curated_2026-05-23
36,What is the gravitational constant?,high,easy,surface_easy_concept_hard,G in Newton's universal law of gravitation — high-school physics (NGSS HS-PS2-4). Short question.,hand_curated_2026-05-23
37,What causes earthquakes?,middle,easy,surface_easy_concept_hard,Plate tectonics / fault movement — middle school (NGSS MS-ESS2-2). Short.,hand_curated_2026-05-23
38,Define oxidation.,high,easy,surface_easy_concept_hard,Oxidation-reduction reactions — high-school chemistry.,hand_curated_2026-05-23
39,What is a fraction?,elementary,easy,surface_matches_concept,Fractions intro — grade 3 (Common Core 3.NF.A.1).,hand_curated_2026-05-23
40,Find the derivative of e to the x.,high,easy,surface_easy_concept_hard,Exponential function calculus — AP Calc.,hand_curated_2026-05-23
41,What is osmosis?,middle,easy,surface_easy_concept_hard,Cellular transport — middle school (NGSS MS-LS1-2).,hand_curated_2026-05-23
42,Explain Newton's third law.,middle,easy,surface_easy_concept_hard,Newton's laws — middle-school physical science (NGSS MS-PS2-1).,hand_curated_2026-05-23
43,Convert 100 degrees Fahrenheit to Celsius.,middle,easy,surface_matches_concept,Temperature conversion — middle school math/science (typical grade 6-7).,hand_curated_2026-05-23
44,What is a sonnet?,middle,easy,surface_easy_concept_hard,Sonnet form — middle-school English language arts (Common Core 7-8 RL.5).,hand_curated_2026-05-23
45,Define mitochondria.,middle,easy,surface_easy_concept_hard,Cell organelles — middle-school life science (NGSS MS-LS1-2).,hand_curated_2026-05-23
46,Compute the volume of a sphere with radius 5.,middle,easy,surface_easy_concept_hard,Volume formula — middle school (Common Core 8.G.C.9).,hand_curated_2026-05-23
47,Apply L'Hopital's rule.,high,easy,surface_easy_concept_hard,L'Hopital's rule — AP Calculus.,hand_curated_2026-05-23
48,Why is the sky blue?,high,easy,surface_easy_concept_hard,Rayleigh scattering explanation — high-school physics. The QUESTION sounds elementary but a curriculum-correct EXPLANATION belongs at high school.,hand_curated_2026-05-23
49,What is a verb?,elementary,easy,surface_matches_concept,Parts of speech — grade 1-2 (Common Core L.1.1).,hand_curated_2026-05-23
