source,orig_idx,text,gold_label,llama_label,category,judge_letter,judge_label,judge_raw
adv_concept,0,What is mitosis?,high,,surface_easy_concept_hard,M,middle,"Mitosis is a biological process typically introduced in middle school life science, where students learn about cell division and growth. The concept aligns with middle school standards (e.g., NGSS MS-LS1). Even though the question is short, the underlying concept is grade-appropriate for middle school.

M"
adv_concept,1,Define angular momentum.,high,,surface_easy_concept_hard,H,high,"The concept of angular momentum involves understanding rotational motion, moment of inertia, and vector direction, which is typically introduced in high school physics (grades 11-12) as part of mechanics.

H"
adv_concept,2,What is fertilization?,middle,,surface_easy_concept_hard,M,middle,"Fertilization is a basic biological concept typically introduced in middle school life science, where students learn about sexual reproduction and the union of sperm and egg. It aligns with middle school standards.

M"
adv_concept,3,Calculate the derivative of x squared.,high,,surface_easy_concept_hard,H,high,"The concept here is differentiation, specifically finding the derivative of a polynomial function. This is a fundamental topic in calculus, which is typically taught in high school (grades 11-12) as part of a pre-calculus or calculus course.

H"
adv_concept,4,What is photosynthesis?,middle,,surface_easy_concept_hard,M,middle,"Photosynthesis is a biological process typically introduced in elementary school (e.g., plants use sunlight to make food) but formally taught with its chemical details and cellular context in middle school. The concept here is basic identification, aligning with middle school life science standards.

M"
adv_concept,5,Solve the quadratic equation x squared minus 5x plus 6 equals zero.,high,,surface_easy_concept_hard,H,high,"The concept here is solving a quadratic equation, which typically involves factoring, using the quadratic formula, or completing the square. This is a standard Algebra I topic, usually taught in high school (grades 9-12).

H"
adv_concept,6,What are ions?,high,,surface_easy_concept_hard,M,middle,"Ions are atoms or molecules that have gained or lost electrons, resulting in a net electrical charge. This concept is typically introduced in middle school physical science when students learn about atomic structure, electron configurations, and the basics of chemical bonding.

M"
adv_concept,7,What is the speed of light?,high,,surface_easy_concept_hard,M,middle,"The concept of the speed of light is typically introduced in middle school physical science when discussing light, waves, or the electromagnetic spectrum. It is not an elementary concept (which would focus on basic properties of light like shadows or reflection), nor is it high school level (which would involve deeper physics like special relativity or calculations with the constant).

M"
adv_concept,8,Explain the Krebs cycle.,high,,surface_easy_concept_hard,H,high,"The Krebs cycle is a fundamental concept in cellular respiration, typically introduced in high school biology as part of understanding how cells produce energy at the molecular level. It involves detailed biochemical pathways, enzyme reactions, and energy transfer (ATP, NADH, FADH2), which align with high school standards.

H"
adv_concept,9,What is a derivative?,high,,surface_easy_concept_hard,H,high,"The concept of a derivative is a foundational idea in calculus, which is typically introduced in high school (grades 11-12) as part of advanced algebra or precalculus/calculus courses. It involves understanding limits, rates of change, and instantaneous slope, which are beyond middle school standards.

H"
